txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
1kx6PYTANDwsAZGZ5xoRNe51uRK68k6roF6KYDauHQMmemH4JunDBCA47oHT2J1QUbh5YJHFdoZtQECqUVLVbZp,0.99859,transfer,transfer,1-1,79jbRVMQu5rQkEcAPbzZNqnwKEASHyEyWgUn9q76yUKT,2022-03-17T19:33:26Z,Wrapped Ethereum (Sollet),2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,ETH,6,79jbRVMQu5rQkEcAPbzZNqnwKEASHyEyWgUn9q76yUKT,3e81Tr2AGVLwPLLsUwiBSaYdGDwSxCMXmhF5ZWUuQAsn,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,EMZaNQxx5PiYe23UNHbyHkKuZZJVRAzLDzAoKERGNhyL,mainnet_income_call_eth,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,GjnoPUjQiEUYWuKAbMax2cM1Eony8Yutc133wuSun9hS,ETH,ethereum
231BLTQGbub2Cdm7s5Y7rSS4JN2L9JLWzhtwYG7Jowpd3ejabjvnxiRhuLVPnyG6Ej7j7YxEBorcfHwLybrTBxJe,144.809361,transfer,transfer,1-1,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,2022-03-17T18:19:02Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,AaV2HTiE7hJWzDA1od8wbBAGM1Kqmxo8BSoMkGV5VKbG,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,31WDxt8KQq9KDNvg6KKHUyTufGXmbLKFiPnLevgXBr2d,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin
24vePEJhnj2G1fcD6qQBTqTxYap4HpRVX1m4sRLRm7N5uprZXi5AwnuNtuf2NmqNgdtoLdks8T27nnibhbiioBb7,250.0,transfer,transfer,0-0,GwYc9Uz9UUmikf9g276jd9SLQyQvEqSZc82m2vRp9rsr,2022-03-17T13:46:34Z,Step,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,STEP,9,GwYc9Uz9UUmikf9g276jd9SLQyQvEqSZc82m2vRp9rsr,DhWnZXYJaJPLq5biMnFf2ujPwX1DBfXT4kvpBMTgUhiV,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,6RYwy311TyRiMHvZ4oRRKb2H8bCKEfUj1SV3UPmYWRX9,mainnet_income_call_step,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,AQFLXqLLofcbUCoi5HPfuuvX6vMPafubZfBNBMumnKq2,STEP,step-finance
24y4KRma4BUarjw4y8Rv9Dt1kZdVVSP5kVnkbu4Ra5KMs7G9Df2Vb9C1b3M8f6yCuNuhsEW9s1WR8WrSKuN5bVBX,551.0,transfer,transfer,3-1,9T19SkKUpSNbt2cMcCQVz7NZEfmXW3gdMDkH9db1yidw,2022-03-17T18:39:38Z,Solana,-,SOL,9,D9QnLjbjTEBCqFZUrovoFkNW3B8gLmsJkT6PDt4HUv1H,D9QnLjbjTEBCqFZUrovoFkNW3B8gLmsJkT6PDt4HUv1H,GnU8ALJoC2fDXHPreqxPJk9wnsvCnRZpWBSev3TUYX1y,GnU8ALJoC2fDXHPreqxPJk9wnsvCnRZpWBSev3TUYX1y,,,,,
2576e4FDQWeN3gpBxER9UwukwDoAXYYZ344fk3QZ3d4651Q2SDoX3M4MFGSjBZL9jCW68aoXPMNB5fRpi8QuMWqJ,15000.0,transfer,transfer,1-1,D4z8ZS5CiKFomTGoSLomCjzrVQdDKScAYUpAiTS2hje2,2022-03-17T08:02:58Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,D4z8ZS5CiKFomTGoSLomCjzrVQdDKScAYUpAiTS2hje2,Fe7kZqAF8DmXmDpABhd3rTJDhdD7LyudrbQupVqWwnem,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,BwCiscB5zmPQKj9VS2bV5UCAdyxthLhzL1EfeWKVz61z,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
25LEn2AixL4j8z7AAM6PQxH6smMb48LnLen1G9HhFbS38BonMX3E5zzVydq31GBPpibouvVMponQvghEx1E7GYFk,100.901926,transfer,transfer,1-0,GvPxYCMFSmqTeu8cnadd1L9zgTrAwbGM3Kxt3XkqMuVh,2022-03-15T19:30:06Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,GvPxYCMFSmqTeu8cnadd1L9zgTrAwbGM3Kxt3XkqMuVh,Axe9MPyWBGet3TymAw3YU4QUb1h27mu8PqXvRuC6JtMV,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,GPzEmGQbe4msvfNAFS9KNBSmprSdAMVdiEeMpEt2keXy,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin
264VgRHcX3iuYXe8vYnE9LxfN6AiaaqJJHRYUZEbrEG9j25xHj5Bm81C76Fai9Em4rE5BFheALCCaWy23LzMpXkM,2850.0,transfer,transfer,1-1,9bnWucxYvJJZhAns2GNhPK5quU5ApvKAPtTeKrxmsLHa,2022-03-16T22:15:12Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,9bnWucxYvJJZhAns2GNhPK5quU5ApvKAPtTeKrxmsLHa,HoZrGrX5XVsQLMjd9eE73cu1yDyJ6kC4RCrvCUvuMJWE,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,BwCiscB5zmPQKj9VS2bV5UCAdyxthLhzL1EfeWKVz61z,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin
26EMmafn6fmBPTkBEEnaifGtYkNhQd69wyErcUmjWSuXUNTuZrPoy8WnyLRa4YHyCTpRrFphkEzpw5f5tAyVwCoZ,0.005,transfer,transfer,3-1,4N683TecJc4PLdcakCoDVqfNAKyc9Weh2TiJ2jmp6gNE,2022-03-17T05:25:04Z,Solana,-,SOL,9,4ipmup5gDewpyunkPJFiuWw8ZqzbEWPWs98GU1zUb5S2,4ipmup5gDewpyunkPJFiuWw8ZqzbEWPWs98GU1zUb5S2,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,,,,,
27qNTbYBw2Y87L8eFVQUM67d6QU9fRTDmcwwrX93TFYwQKuEKZK1EY2qGSry4mJUn59DmYADLe9MgUEQzNj5XgjQ,0.01,transfer,transfer,3-1,TtYiWLEaQ1LtvkWkCK1eBK2G8VQUawWLvDMPF79oFCq,2022-03-17T15:16:35Z,Solana,-,SOL,9,3zn26WdYRWTYRQUvNtcQXq7B45qh69vqBAvqkTCeWqZ9,3zn26WdYRWTYRQUvNtcQXq7B45qh69vqBAvqkTCeWqZ9,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,5ULG3a8SeNX4z9ZGLLTRaM7gZc2txuQZeMi6bYdRVRZ9,,,,,
28SouEpsyqsi3u6Mmy1XRbjCEaab4M6YtofuEK1c85CDZvorjYSkjMJZaAmmqoc2LmvoE8gQ5ju1RwSk4AvnJ2jG,100.0,transfer,transfer,1-1,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,2022-03-17T22:51:42Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,DMEMt2oVMq8TRvBWY79xfgYb6Kq5GHcwR8cKHgDy934S,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,31WDxt8KQq9KDNvg6KKHUyTufGXmbLKFiPnLevgXBr2d,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin
