txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
5v9RWHz42d3HrSrX6qLJRCccMf6LLbJBxLe9CNnd7d9EPz34WtiZJKhwxfjJatZ11xdxAFvNT7DicqxtdsUf4h6M,450.0,transfer,0-0,12JCmtwqibXamYbPcPCcfHwr5Acv4VKg9Y89ufM4LhDg,2022-05-02T20:21:43Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,12JCmtwqibXamYbPcPCcfHwr5Acv4VKg9Y89ufM4LhDg,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
4adJFC12fmiQZW7ACgHEBqq3cpTFm3JQYDMcPibQhadNmcBooXvh6ouq6xqvzhkjmrSSFWoQHB52pGq8KmSaiMAM,4315.56807,transfer,0-0,2abDNDnsC22SqtbxMgMPsVU6Ro8TM77QbraijvHGTFxr,2022-05-01T10:50:11Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,2abDNDnsC22SqtbxMgMPsVU6Ro8TM77QbraijvHGTFxr,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
2rV5hK7TAYkztWVPLM2jJxJbA3Knk8EEXfczn22bPvjpALdGQV8x8Kev4xXNdQpubHxpPZQRipYGL7pnN8zzNnqc,1000.0,transfer,0-0,7rNapJcMKvpFfjKf9YSsfyh1x6e4PjYSM9iej4Byid7D,2022-04-30T12:23:36Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,7rNapJcMKvpFfjKf9YSsfyh1x6e4PjYSM9iej4Byid7D,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
4UY5vEg66BS1pNQAXfaVLpw5kehog1rWSoCE1MwATLJVJrpNgwvDL2m1Be4HUL9c4XGRB9kJ5JbTQD5fbf1CZGfY,0.01,transfer,0-0,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-27T08:35:25Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
gHgMSmzTfuGoNu9on949PWBtPsMyZ2AtBYYWzSQ7hE7qP2A5YJad7axpJjbjRXx7nm6ekEtQT1Cddsi57FRkaNk,300.0,transfer,0-0,G8ZTq8KpGRnuJPFSerT13BAYXrf188SjLNwaosekdbFA,2022-04-30T06:42:29Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,G8ZTq8KpGRnuJPFSerT13BAYXrf188SjLNwaosekdbFA,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
Cm1p14Su7AmdrbqpUioLZKprgacjH1P8RRGuUbbxYufViZcVeGaDVfAAx9zoVNWghtKW99oeEX1mafv6vCFzQe2,250.0,transfer,0-0,5tfXtp8xWnQyWmi3PwQvGMxtmZmcuWRMMjxWwERJFypz,2022-05-02T20:11:42Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,5tfXtp8xWnQyWmi3PwQvGMxtmZmcuWRMMjxWwERJFypz,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
GcgskNvajiH2uiUu1CH4a3pFxTmHMzui1TYkcG5T2ZtudJjfNGw6tZQ98L4piSrcgScmCJWGrX96sfSjNxW7E8x,250.0,transfer,0-0,BQqSmMRukf5pPniPh4vEuX1cSXiFokCTHaajV97RVFeZ,2022-04-28T20:06:12Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,BQqSmMRukf5pPniPh4vEuX1cSXiFokCTHaajV97RVFeZ,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
TFekPnbrfKv9XrqaWFoF922GavdMGLqoaU5461Tu7MyojTqnrNEm5sCzMPGRwwntfgiwkHy7ndjR6JZek136t4D,1784.657389,transfer,0-0,HbrHMJwRSYm5jepiiLSG3TrnPUxUf3pYBBTgb5eninLT,2022-05-01T17:12:38Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,HbrHMJwRSYm5jepiiLSG3TrnPUxUf3pYBBTgb5eninLT,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
9vcisMmH67fHdJy3aAEg5qF4Aci46ApE4TmoahcJ4k7cYHgENYnzQDCSZDtEFsuwtdxNXMtvbLQ4z1T2rxmz9zu,7000.185331,transfer,0-0,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,2022-05-06T00:08:18Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
2znRqaZLsiEp4ad6ax2fQKRn5qNWHSGAyVQDAeLzVRdxLZezVQ6TeoVsMiBKNpbHcusQhN6aDQMjzptLyvH2Kzua,3436.704271,transfer,0-0,CXiefHdptHxqzny3wkBwL4DmyD1xdmgEBm5M1N712LhT,2022-05-05T11:39:05Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,GX3M47wUUtJjPiMdUi4f1KWdqaVfA8jdJzmefYgRT8Qc,CXiefHdptHxqzny3wkBwL4DmyD1xdmgEBm5M1N712LhT,mainnet_basis_usdc,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,CancelPendingDeposit
