amount,instructionAction,instructionOrder,userAddress,txSignature,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,instructionOrderPair,amount_x,instructionAction_x,instructionOrder_x,userAddress_x,timestamp_x,currencyName_x,currencyAddress_x,senderAddress_x,senderTokenMint_x,receiverAddress_x,shareTokenPrice,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
833.982745,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,T79vT16ZkjaY2Mp3Vaa6da2QG8zUrbzueyi5EhGwitJztS4LEyekzUYtapvmWRCe9QMSteoAN2sEXt5yP4MVpLY,2022-04-15T03:41:26Z,,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,,,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,0-1,860.025716,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-15T03:41:26Z,LUNA (Wormhole),F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,2mAEZdxpNHWyUrRd4SB5bGNHgEFgZwFiQXovus7tXAZa,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,1.0312272300070189,mainnet_income_call_luna,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,95sn4kgeJnnBfRCD8S2quu4HS9Y6vb7JDuXrarnmEjYE,LUNA,terra-luna,EndRound
140590.618458,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4tHJ3ddPMBWpPJrRNFhcycrJbRfhSJUqf4pzzJbPUpoyoti4ZmeQAQ3F56shE9ddqHa8VkiBEobBp22vdFTJ1tmJ,2022-04-15T07:26:55Z,,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,,,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,0-1,144575.226155,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-15T07:26:55Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,GYMYkJkLVF5DSi7BgLuGLv6eHE4LKBRc1rFnZtfzXveY,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,1.0283419174103026,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,EndRound
88588.070245,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,5ebhNxER2pvPH1PiAbfnfi3QY6uCe1mJE4gqCwJzeChZweX5ysQ4tEfuLXPi74MefRWcCuK9HUPE3YwSsJrc875S,2022-04-15T04:25:45Z,,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,,,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,0-1,94419.257468,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-15T04:25:45Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,AsC3pV6mqbZU4Uxg1ERvTRxEfTzeQuY7CzrAVuvJWBeR,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,1.0658236171853976,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,EndRound
31668.723921,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,whftpUrFmRj7p6zJRe9yWdaMSXDk4C4Kk9dSCctRjnWDBLurcVMvEeaf8eCArXTdSe3dTihoHV9hX3ncp4fBufH,2022-04-15T22:35:46Z,,CxHG1tPkeEHsAVmPF2UrjZK3W719J5DGFgMaLtUkBoeP,,,CVrRw6VtxSjokm2tKmaS5RCuoc9EFjN4wEoov6f2PST6,0-1,32217.656908,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-15T22:35:46Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CVrRw6VtxSjokm2tKmaS5RCuoc9EFjN4wEoov6f2PST6,J6EaaYnQq1cgvwtUrkWcBb69uMYPdzaebAS2rg3QT8Sn,CVrRw6VtxSjokm2tKmaS5RCuoc9EFjN4wEoov6f2PST6,1.017333599811895,mainnet_income_put_mngo,CVrRw6VtxSjokm2tKmaS5RCuoc9EFjN4wEoov6f2PST6,CxHG1tPkeEHsAVmPF2UrjZK3W719J5DGFgMaLtUkBoeP,USDC,usd-coin,EndRound
102.718580637,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3pW49FbZ4Dztn1SnY4VQCr4V16NY2RZqEoRfVB8jMPtSH1Z4Ffpa3jHrXRdp8u9coj6RTusjVuUkPQL6g8rrqkjB,2022-04-08T03:44:22Z,,EPoDdEcDQ478YNRAiMYMHLs7mEnmo5z9322Q2D5exKFU,,,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,0-1,103.087031598,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-08T03:44:22Z,Lido Staked SOL,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,6Q57epGrx4bMDgLXETYnBM9DmfgwbQmjgD4K9NdeHb8j,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,1.003586994278105,mainnet_income_call_stsol,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,EPoDdEcDQ478YNRAiMYMHLs7mEnmo5z9322Q2D5exKFU,stSOL,lido-staked-sol,EndRound
0.0,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2SWY12mSCSxUycNr139SR8A9MkTfMYMMx8NCgh77DUnGoPxFbgdwL1QbMr8vtfKN4TSGxvFRtRScGmmaZLgUi4Qo,2021-12-22T00:57:06Z,,GjnoPUjQiEUYWuKAbMax2cM1Eony8Yutc133wuSun9hS,,,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,0-1,0.0,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2021-12-22T00:57:06Z,Wrapped Ethereum (Sollet),2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,HEhpQfQqDcr2owp1AV6WxFqxa3DoZHG3beJjvnfX6moH,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,,mainnet_income_call_eth,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,GjnoPUjQiEUYWuKAbMax2cM1Eony8Yutc133wuSun9hS,ETH,ethereum,EndRound
31649.540675,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4kRt8pMdsTWqj2ytgCa747FeGiPYhp27Gw1tk6Ne9SErsVfwnL98rokH6FUh7wh8KKBy8Fmh4RVjwCLsjLd691F7,2022-04-01T04:53:50Z,,SoAnGsHVqSyaN4MjWoPCcftC1V6oSeNxLJjF5TXrtuL,,,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,0-1,30607.492105,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-04-01T04:53:50Z,Raydium,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,8iDJoR9FPcsfit9AmtHfH9doJ9ao6WbjKfaNEnbUCyAQ,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,0.9670753967427049,mainnet_income_call_ray,A6XsYxGj9wpqUZG81XwgQJ2zJ3efCbuWSQfnkHqUSmdM,SoAnGsHVqSyaN4MjWoPCcftC1V6oSeNxLJjF5TXrtuL,RAY,raydium,EndRound
333351.281512,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4rvYT7P9eRz6x9aG2wxm2xpaHE5JLJ1XyriqkYUCMAfEkrprQdMcCnFZA5KkdBtCAEPQJ4yd6C4BTFyTe5YExXCH,2022-03-25T17:19:03Z,,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,,,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,0-1,247759.767002,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-03-25T17:19:03Z,Serum,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,DrrE59ehum4DcprCAupUqjwDmFxNszPXwigyPkadEXKL,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,0.7432392816317436,mainnet_income_call_srm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,SRM,serum,EndRound
17768.74271,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,oCtF5qUHK391Xz5aZqaUbR6bsPxizpTQjr5mqD17gA3LdmdSL55GUF8yyctr8KKYgHbChztbQ2vHrCyGC5vv3sK,2022-01-28T09:11:35Z,,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,,,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,0-1,17768.741826,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-01-28T09:11:35Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,BKbcvf7wZuTRES6jL3j51UxrzNqH2QCMogjsgwcdVBcb,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,0.9999999502497159,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,EndRound
0.0,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,82VfKkkcKZxCPBwhJSuKJJqGXwAGz3GvSKDvQ2yM6kkwafvigQfoqNZ5819LmDsw6cJKNMNNSahbD4HmE8ZUio7,2022-02-04T05:27:20Z,,7ujt4cJx4ofLhLFPRegduDJBxLUS995qYZziowuHNLLY,,,8oGPKyCV92n2X3shzhHfn8HLEUA222hFccN4mpirg8ZB,0-1,0.0,transfer,0-1,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2022-02-04T05:27:20Z,Wrapped SOL,So11111111111111111111111111111111111111112,8oGPKyCV92n2X3shzhHfn8HLEUA222hFccN4mpirg8ZB,FgjXFMXekSA4i9MGoYP6Ynx6PvSQ6PQMLm5Tz1WR7dRn,8oGPKyCV92n2X3shzhHfn8HLEUA222hFccN4mpirg8ZB,,,,,,,EndRound
