amount,instructionAction,instructionOrder,userAddress,txSignature,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress
6308993468.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,31wmKk7wvZ35HviquCEnzPYy7esURX2zybRkZ6C5ViqZErkTgZd2GBW7DVbUzyM3LXrx449yfAXG4gd7ufwvZ4Jm,2022-06-25T17:59:31Z,-,-,,,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z
15615733260.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,4DECVzpCwsc3BEJxhbuway3Lboq4Ci5By6U4FZ8FeuZXVYvNMdTXZ8YEJjxV9ij1JKq76qoveHA9qyqzYWSgv7vT,2022-06-09T01:40:16Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
189184331289.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,551ZjuK3MKiCHLrCXB6UHweiHuCDEfjSnRfnvZ6P9D43zcnti9ZcLVD17ZkCpud74f3fbfVYDpCGohvmnnDa8WRN,2022-07-07T07:53:21Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
21018950995.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,5L8RE2kRRiKfXwfN7pqiYAfruFrBypBsT1QkRnETabeds7hL9gvjReGEG9c5qMgM94nfqJhWWY8ngLknoEffKy5Q,2022-06-09T02:24:05Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
1524667131504.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,5UV2UHCJPj2eCrtRRJ61fkqz1LEYKNHZp3tqw7bJ2wakxuZ8otT4ZEx2CwSP6LyKwPdAXC3YphQxMgkDTAbPepN1,2022-06-05T01:38:02Z,-,-,,,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z
56488110086.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,KKjeipAWQp4H1enLZkXV7he2vxrXi77x6iHyNRi3jNtpj6Wo1Xi79pYsnMTshAi6xCBafTW4AawxiBaUdLLQ3Rf,2022-06-30T02:29:40Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
145266042261.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,dRsgCyppFZDFEV33ojT2YVosHYJRXMi6xvGpxnFRKCXKe7Qk6QggHEauN5jHqkRyLSywYxJ2edR2pLqp6EkrBBf,2022-05-16T01:15:36Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
3798940554.0,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,ndSXpS8QsDKdv8cCSDtSWKjy2Cxdfr3aD5w1SWRZtzrvNNJqCAoH63tchJjyR5HbXXtZTGTedfmU7RZtccyeG3H,2022-07-07T08:30:01Z,-,-,,,Epomtk2m1vF6J74wXxYjRmkZPismCAtriCUxBSR3D1AV
5713793113348.0,mintTo,0-0,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4q1t2iy82Wh5X6JgJ5RNCtdzAtaGCkXM9VyECGiC5TzxAU8zdQNUiNTcymsA3EEAbNcKUxMDG4dhyWpuaJ9vN9CD,2022-05-19T08:16:53Z,-,-,,,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z
246339178634.0,mintTo,0-0,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,JpwF6hjow6xuX8fSbgtUL2yK3EYBFiEWVhH6mQJnnK3bD9RA2FjB7BzyZb5Hb1oEACuxtYoffLSbaZcMJfDAetS,2022-05-27T00:02:49Z,-,-,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4
