amount,instructionAction,instructionOrder,userAddress,txSignature,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
56488.110086,mintTo,0-0,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,KKjeipAWQp4H1enLZkXV7he2vxrXi77x6iHyNRi3jNtpj6Wo1Xi79pYsnMTshAi6xCBafTW4AawxiBaUdLLQ3Rf,2022-06-30T02:29:40Z,,86nx2WyrdC6VuWyfdG1gMLiiBduktBTJgToKZAYwcbct,,,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4,mainnet_income_perp_btc,3A9M3rMmAg6SZmNgMuZ1sinriFaTdS9Fmj6c54w1vDG4,86nx2WyrdC6VuWyfdG1gMLiiBduktBTJgToKZAYwcbct,USDC,usd-coin,EndRound
1164.958016,mintTo,0-1,5iNvytYx4WgLGimVn1ctfHv4ULJcgcwLUzDoVrxdSpGx,3VgG4x21eynufb8tNE5k8NvwRK4XUpEiXSsnLS3ZNGUA5BPDYbnUxqCvGdcMLqacnTSFLJvmaGckcNNn4S3TxNuR,2022-06-30T08:45:05Z,,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,,,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,mainnet_basis_usdc_sol,C2k7bZg3iBaqGM4xXzJiX4VADa2GJ6ZUhdQV76A5dB3Z,5CNnTMrMmWHnpswWYdFANvP6QCu58azbRG1enAjeWohx,USDC,usd-coin,EndRound
91.060142,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,1uUakUhxiAs16iXU3EXP8x1xoQ1Cto6bTk7W6yUA9bxpTycYAwpQcrR27xz6SdpoYpGHFN9CzrKphAzXg3Qqqnb,2022-07-01T03:50:03Z,,Fw8mw9zNyfngvBYuS2L6XWfvFE8fExQ3apZVw4Ery5oy,,,AQRGh6PU7LzDHvvoPNS7wVVQaCBeftw9kVDAnvuEjbs8,mainnet_income_put_tsUSDC,AQRGh6PU7LzDHvvoPNS7wVVQaCBeftw9kVDAnvuEjbs8,Fw8mw9zNyfngvBYuS2L6XWfvFE8fExQ3apZVw4Ery5oy,tsUSDC,usd-coin,EndRound
7922.801768,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,2fjnYatSv45gdUxnqBG9SYezF7bAEQ2AC4UPQuzfv6SY9QdCY8wmVPkdkCM67zDjQfi3szi8Sjsi8MVwgg9DcDuJ,2022-07-01T03:50:06Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,,,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin,EndRound
36.150732,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,36yMcnx7AQLk8e1jnQjJg93ZVtue6UZ1iBcHcdm2TnhzWgLAQxbJSui9UNNAU7p4JTBmVVTtx4JezPC4mhD6GRoM,2022-07-01T03:45:28Z,,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,,,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,mainnet_income_call_ftt,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,FTT,ftx-token,EndRound
1734.408325,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3KWaz1Tr6svi8EwSZXuPJe8VNjPAHDLvcWFdi13HfAzpG7myLS9sP9kkPy4Zd3BBtA8gK3uegitWkEannk6iY58U,2022-07-01T03:44:41Z,,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,,,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,mainnet_income_call_srm,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,5SLqZSywodLS8ih6U2AAioZrxpgR149hR8SApmCB7r5X,SRM,serum,EndRound
0.0,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3McrTLkP4wJVr5CXMuXQ3tqEpDW25zcE4zq9kcxmDCQJix87EgnNpzFdaHsT9kMouXsyaQf5n7HgGuXegBXAajMW,2022-07-01T03:51:05Z,,5TMXqdmLGfdbmeWDQ1BxZ16xxTcHTA766gnojnS1Cx2g,,,EYwsNSRx49nSitg2e17mr1ArTZ1urFZfPuaC7qLQxoyh,mainnet_income_call_btc_step_circuits,EYwsNSRx49nSitg2e17mr1ArTZ1urFZfPuaC7qLQxoyh,5TMXqdmLGfdbmeWDQ1BxZ16xxTcHTA766gnojnS1Cx2g,BTC,bitcoin,EndRound
5.537186837,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3b7mJwmhXzUwLi6vyC5k5FGqCJqWCnsntKmYg2U8YKzmahWWkWkGB1Uhp52bLg71XsfRScM79rEmmfXx16tjTz1w,2022-07-01T03:45:32Z,,EPoDdEcDQ478YNRAiMYMHLs7mEnmo5z9322Q2D5exKFU,,,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,mainnet_income_call_stsol,2Ahpeqc1bo7Y4dVknvZUVfZPhHhym7JN6az2XMbUA6QA,EPoDdEcDQ478YNRAiMYMHLs7mEnmo5z9322Q2D5exKFU,stSOL,lido-staked-sol,EndRound
16.862423115,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,3bKNPuCJHWDSEB4MHXEyZw5Lni4T3n891yefWvnFNKAwmi7H7GBPfBVag5ZouVDahLwvv7u7YupeUQUCzskk8nqh,2022-07-01T03:45:38Z,,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,,,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,mainnet_income_call_socean,A5MpyajTy6hdsg3S2em5ukcgY1ZBhxTxEKv8BgHajv1A,5VmdHqvRMbXivuC34w4Hux9zb1y9moiBEQmXDrTR1kV,scnSOL,socean-staked-sol,EndRound
4.746239,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4RoDhZ4oTYosfoxWezyRNXTJ9VP94ZusAGfKEQYU33D5woz2deCVta5jssax4kmb35qYCbhHSnL32eCfAZtR68nr,2022-07-01T03:45:35Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,EndRound
3068.188629666,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4cG4PKRHkwGGLQrkLZeraMHUsnGEvhiKFFTayvNqmCjofS8UtAvBjdVfNKt4yQ43UJM8G63eaQwCVdzXfYLK9nfX,2022-07-01T03:45:28Z,,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,,,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,mainnet_income_call_sol_high,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,SOL,solana,EndRound
1578.490332792,mintTo,0-2,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,4tYVHq6g3KjqDvzZmsLCdyJFSURmQmCqab1dy6vaRp7sxkdTp5oHq6o1jZ2qiPze9LJZfubMPi8YrHwXjmdexFxq,2022-07-01T03:45:35Z,,6UA3yn28XecAHLTwoCtjfzy3WcyQj1x13bxnH8urUiKt,,,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,mainnet_income_call_marinade,6asST5hurmxJ8uFvh7ZRWkrMfSEzjEAJ4DNR1is3G6eH,6UA3yn28XecAHLTwoCtjfzy3WcyQj1x13bxnH8urUiKt,mSOL,msol,EndRound
