txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
29EqHd6UnsoSzV8dbzJgznjUeeexURHn9Vy1CB185JU2nKD1e3Lkk7F35iFY9PmN4ozCgm7dLZFnzngCob3hn1Wk,4951394567.0,mintTo,0-0,DbhYgdQ8LYkJfnw3HPheWY9Yt5h6Ds9SDmUwtYVfJGc6,2022-05-05T13:09:42Z,-,-,,,DbhYgdQ8LYkJfnw3HPheWY9Yt5h6Ds9SDmUwtYVfJGc6,mainnet_income_call_avax,5LrULR5w9N1dfnJ9vHnzRkQi9uBL3CkSRWkDGTG6dP1e,HLfkEc6E2HEcABaWm3QZSfDvswzXjh1onF9xEzUAtWNS,AVAX,avalanche-2,CancelPendingWithdrawal
5pqd52Co25yaPHiaKySX6VSjw9uPL1P8fAJpUosX83EZjnnFmsj4vdCZLMxAks3UQRfbXmLuXjV9xbR7F16kAzkB,6.6245177,mintTo,0-0,5XdkSEhqXZzvfeAGN6RBZ3cRm7pWBXL839mxXLab2W2P,2022-04-29T14:53:32Z,,HLfkEc6E2HEcABaWm3QZSfDvswzXjh1onF9xEzUAtWNS,,,5XdkSEhqXZzvfeAGN6RBZ3cRm7pWBXL839mxXLab2W2P,mainnet_income_call_avax,5LrULR5w9N1dfnJ9vHnzRkQi9uBL3CkSRWkDGTG6dP1e,HLfkEc6E2HEcABaWm3QZSfDvswzXjh1onF9xEzUAtWNS,AVAX,avalanche-2,CancelPendingWithdrawal
4HHNvr8q9toQBJrM6rEwz8h7NmJrwsQpWX51JNVkSmvJeFtnWv1P2eqkWyGQqEgAfR9t1rv7UZHUUTMpgDAc7ZQL,189.0,mintTo,0-0,CiSZ1jTcZ29SoX3tEUQmsjpVS4HRMpiy8a5QKQQsbCTk,2022-04-28T13:12:27Z,,HLfkEc6E2HEcABaWm3QZSfDvswzXjh1onF9xEzUAtWNS,,,CiSZ1jTcZ29SoX3tEUQmsjpVS4HRMpiy8a5QKQQsbCTk,mainnet_income_call_avax,5LrULR5w9N1dfnJ9vHnzRkQi9uBL3CkSRWkDGTG6dP1e,HLfkEc6E2HEcABaWm3QZSfDvswzXjh1onF9xEzUAtWNS,AVAX,avalanche-2,CancelPendingWithdrawal
2AFZaELyHwdrgAUKpw3VmfMhZJ2teQon19q6AHtakDLdtD7QVdVhCtAjWHxzaxSZAAbJDpRJTgpFCjN5wXQi2YmW,0.046746,mintTo,0-0,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,2022-01-29T17:52:12Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
4hW11pFUmZHf82DnjNXYMuN21fTrPj7wBpk3ntMsgZiniB825FABGeSXvhQzkhZUyix4iq3KNdN65qksEX7YuvD8,2.4e-05,mintTo,0-0,GBHjPxtyiTz94Kta1QnA8B7HkP99S8ywAf2Si4D5demN,2022-02-07T04:10:59Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,GBHjPxtyiTz94Kta1QnA8B7HkP99S8ywAf2Si4D5demN,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
2C23P9oqzDidxA1sLEwyHyXWWjYKgddXaQLxvvU2zrXKbKHXVZMNaTd2Hk4ExpeLF32dE5F79ocD2Zn6VHVLfFeH,0.095398,mintTo,0-0,GaSVxveDeaFFe2qzkEE48nNKhp9CK7v951EfhYibdavb,2022-01-20T18:04:30Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,GaSVxveDeaFFe2qzkEE48nNKhp9CK7v951EfhYibdavb,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
4oungUm4yseiFG92U7egnXHVL1d2Lcfj1vZSdanHcS89Ta36iygyqzXVGG5o7yKxmN38wy9Q6ppB6nUaMV3ZsZa6,0.856022,mintTo,0-0,GBuy9EXZcKNySRuRrJ6z28WRA5HHSah8CgJr8TCYJUat,2022-02-11T00:22:48Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,GBuy9EXZcKNySRuRrJ6z28WRA5HHSah8CgJr8TCYJUat,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
4rBceG5zQUio9VsYmBAxn2bqsjxfYNYgMkp19Azrwd4aXiCNzPydkLYLnw37T6SKv6aU1G7LhrU5ZF8vygNvbTJE,0.01423,mintTo,0-0,6YNn8Mf6N1PNp5PgysuuzCjmxNnVjMFPKT8bFUssRtg7,2022-02-16T03:38:37Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,6YNn8Mf6N1PNp5PgysuuzCjmxNnVjMFPKT8bFUssRtg7,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
4vMkq6R7Vnma6JYbdasT3XvLcYnJnSBGUUAKnWD6Mv6z5X3ia8NT4hfAxnP438hriTs6m6zj7VBrocA1EB7t4DH,0.046746,mintTo,0-0,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,2022-02-14T02:05:38Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
531jAeCqmbyK9gVu5dSFKFS7zVoTnuQUqZ8hgZvUamY2i172sx3zZa8zgRxJ4yRuGtF7DjFiYxKa2vnFby63uns1,0.000187,mintTo,0-0,6hdipjEFhLF2tYYQTMEu9HRvX3CFNBjTLkNiNGBtCShk,2022-02-10T17:45:02Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,,6hdipjEFhLF2tYYQTMEu9HRvX3CFNBjTLkNiNGBtCShk,mainnet_income_call_btc,DA1M8mw7GnPNKU9ReANtHPQyuVzKZtsuuSbCyc2uX2du,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,BTC,bitcoin,CancelPendingWithdrawal
