txSignature,amount,instructionAction,instruction.action.type,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,currencySymbol,currencyDecimals,senderAddress,senderTokenMint,receiverAddress,receiver.mintAccount,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId
121LWhTbbo5Pah8bAn3L2hH87Uw5eWctUPnDFLboC74asP3kvK82xxzB2cTufGAmBpcRqkr3cqUy4M7drjxSZdmK,0.025095,mintTo,mintTo,0-0,9Fgf7sU6Q7MeZXsSAoiWud5MwdYo1rMHLGj3EDuHELUU,2022-01-28T08:00:30Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,9Fgf7sU6Q7MeZXsSAoiWud5MwdYo1rMHLGj3EDuHELUU,JCxJgxtWwQSfBfCsFEQDwMTmLvqZb49G9b9KwdecTf9M,,,,,
1PBDMJo9akcpez9fHp8sE1VUTWtKTXAEqSmFkWn3PK5odSDmaGg3NLiNiB5BdghZXyysdcAnzkBMvx2swsxuyDV,0.002621,mintTo,mintTo,0-0,7UDRdsq6RWKDF2CoqEDaV1mZrct3VEDUcS4rPGBGMbTi,2022-01-20T03:07:13Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,7UDRdsq6RWKDF2CoqEDaV1mZrct3VEDUcS4rPGBGMbTi,4BaFUxW3vyfomXKN5AhY1k6n3fuhUmharaErqRT2V2bG,,,,,
21z2qAQ96CfBLfKWR1maBJMk13CLaTwfcTipJajvVewnmKSGqY38oHEuKbnHznNHoZ484DNqZSLGhqGLvqi2CsEY,0.001766,mintTo,mintTo,0-0,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf,2022-02-10T14:53:35Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,2jcRMHYs4X8htuwCHYsaKW8scJFFwuStzWbjsphnEkKf,7YKvqtpq5CeXnrf1aHEVvGfdGMYBKGim7b2zfnSVr3Cp,,,,,
2AFZaELyHwdrgAUKpw3VmfMhZJ2teQon19q6AHtakDLdtD7QVdVhCtAjWHxzaxSZAAbJDpRJTgpFCjN5wXQi2YmW,0.046746,mintTo,mintTo,0-0,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,2022-01-29T17:52:12Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,gvmtTTUNSbsPLKpwmBWMJ3rMBhcSMMCpQ9QNZT3Map4,JBEhn2GDAZHnYCKHVoQbquFE9VEWTxQz9ZmzUr2VvxM8,,,,,
2C23P9oqzDidxA1sLEwyHyXWWjYKgddXaQLxvvU2zrXKbKHXVZMNaTd2Hk4ExpeLF32dE5F79ocD2Zn6VHVLfFeH,0.095398,mintTo,mintTo,0-0,GaSVxveDeaFFe2qzkEE48nNKhp9CK7v951EfhYibdavb,2022-01-20T18:04:30Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,GaSVxveDeaFFe2qzkEE48nNKhp9CK7v951EfhYibdavb,Hc2REEBjuh4sHQwnqSz8xBiG6brERQ1chk3YpwTg6Qmv,,,,,
2LvWxwoZiVob5RyffNMA9bp26knoZ7DcCn1XVF8zArMsKJnQVVMMsdtKpR3BwG1Rn3MJeuTNt6YinL1QTiZf56vB,1e-06,mintTo,mintTo,0-0,2qtxUGrLPjvgE8gSuNJfMNfxs7pBbme2h3c7oemXa1QE,2022-01-24T08:18:50Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,2qtxUGrLPjvgE8gSuNJfMNfxs7pBbme2h3c7oemXa1QE,9qQ6EXLxZKvT8CYRxUz5Y81YaAxwPDXsN6bhyiAHrdHD,,,,,
2VxrPEhK6862v2syUAQ1gRFJgnoNUMFjcyFSkdYPbJoWS16W3Z7LcfjzkFj65kJTquDrnG5KeNEELRB8HhxFvza7,0.045548,mintTo,mintTo,0-0,BxgAFj7g9pnQewTZNj2XypiwnRT5ZUchGHuY8eRMWvGd,2022-01-25T19:23:06Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,BxgAFj7g9pnQewTZNj2XypiwnRT5ZUchGHuY8eRMWvGd,95TFao9KfjTcj26QpXH4hcKv94uDZkzEczmFGutWxREM,,,,,
2m4VoU3pvtVrqvsqSeVqu6Nvxef9v8CTceQJcZemUBUs1s1R4wEqWt676XjGPiYt2yMDj68RTVf5AJM5RVCX5jb6,0.00012,mintTo,mintTo,0-0,CVonMr9VZGbMUAXwseuecNx7yrQKdD7WXp6khBBcWGCE,2022-01-21T08:22:12Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,CVonMr9VZGbMUAXwseuecNx7yrQKdD7WXp6khBBcWGCE,7vmv1FHhMwDna6t8JFiyv3pNgmESx5GgB4pwUtctY54Y,,,,,
2yHXsVj5SRsiKYPkRVQTEXRjS9NPhrXWSwbzcJ7iYZxDqbXYqjmwzZMvYFF8P6823cajgrozhXFHTg7qDaiCC3Zy,0.098547,mintTo,mintTo,0-0,756sfbbquY38ujRJr79AcP3Ai7NxPBuYeEDuozeWffHJ,2022-02-21T21:21:02Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,756sfbbquY38ujRJr79AcP3Ai7NxPBuYeEDuozeWffHJ,674fn4pd6V9t7vWmrRtwjn42L2vivCmHi8SUjSN4KtHb,,,,,
355f9uxDuoBMN789JYS8cLVJArWeNe91cZVdFKcQ2fBawenvuvxZmYcCmjwjwaJS7guiEvxhMJcpSh6NNhf8Tv9A,0.005874,mintTo,mintTo,0-0,9DzL5aYgerzgfe4bH8UfADbv9afhLs4BLNb5nQqXSLwR,2022-03-20T13:49:50Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,9DzL5aYgerzgfe4bH8UfADbv9afhLs4BLNb5nQqXSLwR,JEswEJ8cHKLgr69zkyJMEsLvp9KULvAbABY4KWgxCRR,,,,,
3M3PLNiMbbgADxLhSRRHb4nyBn4MERu33bhX2xdAa4y2U14nwQiGKnYV1E28393jADzm4AGwiAgY6bDR2By3NRZ1,0.006615,mintTo,mintTo,0-0,ENfhJcrMjWtF556LjMSGFBwnEDB9EFpCq5WaMDbFUmmt,2022-01-20T21:11:12Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,ENfhJcrMjWtF556LjMSGFBwnEDB9EFpCq5WaMDbFUmmt,AM42KwH61URYccoJ9yKML2z585tke4RG1WWogDVTHQyh,,,,,
43kqADpMDcLW925LG1J1zDy7MTMN8kCH4PQFKeG1rsRQ76P44W2s6phoFEpCkU6LuV6tj91kqV9ccHZSVA62k3Gv,0.001115,mintTo,mintTo,0-0,2ZME5f2fgapRFZXpfygK5baaXtS5qtTeYMSE9p1JLe3w,2022-01-26T13:51:46Z,,3BjcHXvyzMsjmeqE2qFLx45K4XFx3JPiyRnjJiF5MAHt,,6,,,2ZME5f2fgapRFZXpfygK5baaXtS5qtTeYMSE9p1JLe3w,6YdFU9gAMJHjpEuYkfdBvVE6meBpvcEAruBvtqFKi38X,,,,,
