,userAddress,vaultTokens,usdc_send
363,Dnz2w5wxrTRVyPvYZgAuEPBkV5kDFUeCFy1XieCJrBuE,2165534.8007097915,6737.797094233386
438,3KNZ9i1dLNNqpBTKEkTgUQs6TNCd3bzuy6HwfoXACaRs,524725.0747265904,1632.6179946890713
431,GUTxaEAhD2N4jWfWspBXaF8wFnUPxQhUDuEVab8T24tm,403359.5702318002,1255.004047659848
499,GrRG2dYEnLPJZBCxBrAZTsdrKWTCGDHXTJ2Wd6B1Lzjv,292424.38896024274,909.842777670208
404,5SdHHn4Cz5Nb7EVK1jE1fMoBwDnAncCG7FZiHKTrhANu,99199.01253750177,308.64561410277344
12,HWstmhmp4DDdZCyU9QgQN2j8PpP5DGwmt23kEsuusuuK,85477.81383166937,265.9537798550605
302,AG25ARitey2E2kUoBHSRnUSWLNPErPsvMyGqQCVfQHFG,58047.34124946442,180.6072140103321
265,3g2X8fLNjBQ7CXNBTfjE4WcW5wQ3ee1YEDdyGgKybJbm,39362.89473296828,122.4728402727484
521,7wHuTjBrche1b1dtbjPryoAkfsxtuZazGeDbiMSrsHPc,29387.118721300383,91.43443137619856
123,8hEeWszgrA2XkRK4GH6zL4Qq5wJBwotwsB6VEweD8YEQ,28784.89612197451,89.56068929711049
127,3xF5EvLaDGUmGNFbYWZ6Bc8u835EanupDdLPuQu6cABW,27258.794668405262,84.812410979905
100,Cs2xitsDqkb8BPgfDtYd43jSwmFR5voQ2UqAPb9JF73j,26983.459774671206,83.95574007979555
295,ZScUtSLBGyKUN2zcaFV4dsM97aFVpLSfrtTj5etgmJr,26709.30277386628,83.10273404970002
388,7sGayKe7zWQ72PGRLWfQH1AtMUGkoTiG8swKZCYMmUn8,25282.208145917542,78.66250338047344
26,C35WVe5uAj5UMSi2HEG1V5RqPkvwJ4uudxM4hixr5KdS,25123.906026539844,78.1699656666466
457,517cQpvm7aqKJ3ZhPocppto3QnqKHRH5jDhiSMHnqUDN,20345.56900026645,63.30275350254744
364,WVBQZAsiZqPVWFmLmkCidpbrQvU1Y4tSpsBeBEp1hQG,18953.03416053975,58.97005139420267
511,DusP9KWaxZFi61g2G7xctrh9qW2NF4v2S4DD5HLcnDcQ,14601.72448874812,45.43148269833238
417,BGAib8A6Dv1W4H3CqUPDVc8w1Ru6GszcZo7VSywBcEX9,14520.4333873287,45.17855536289946
62,6igXx1W5d8WpgUsNCbqiZgzBqG5dLBgqhBC5VKcU3T1e,14389.401564428274,44.77086584652631
433,Hio6PkKbgnKs7fiamvbe118WuoCcYL7vgb4oUF9NoKy5,14212.738169232556,44.221199265127126
94,A9c5icbj9GuTLhrg93nRwkENqPZNcSBBfvPxXcqB9X7Z,12666.433237027086,39.410060291235844
277,Cgfd6Y9rvA2ApgsPPypKsoBw3LyHGNSb19iGTPJgx2Z2,12413.269811151828,38.622373205962774
479,7VD6TVNCwj7BsfG4mcy3xVSCBNRVhBBQn4NtxC9mKp7z,12223.082246812874,38.03062782374019
539,Bgx5BQnrxxSYkFamwXaJEkvho5gKHH881kLKR7uxqoBW,11699.712828098915,36.40222778719231
63,2RbKZjkqrEUFPTxCc4DDg7ZaWW8QxftKuuQ9W44YvGcK,10564.230584972587,32.869313443916674
250,HbnLEHWr1JjVKH82RPYriMLMQXfR6EM22ynndJZ2LMY1,10520.836201401844,32.73429711841908
75,EijiDR9zwARB4RJhGK2mcoQxibNfh7kCrLwj9WNKpJ2J,10233.077017082229,31.838969555309873
405,7N6piuSaRdjTLfmp3EhHJdSyy8FaVZ4XxfSq34uH6Hv6,9897.853368968164,30.79596210909338
346,FQnJRA6XCLRpcexUyy5kpxtE1mRcbKZCjQvAo388Xbqc,9795.706240433463,30.478143792066195
239,fJgXL6DtWQwbv74997HkNY56JnUH7Kf2R3VSoY1Qe69,9759.347874682626,30.365019176831762
33,G4oZr6bBCW3TNGXemv6osfVZs7jQPeNPH17crmBUEyLL,9705.720768075093,30.19816498314531
110,4jphBN8fmUsocvC4ArMrB9Moicyo1ZuPSNBmGHFpPmbA,9654.059444796098,30.037427084239518
117,4YVH3TMmMSxZHd2js532fketX1DspXZLjoF6FUbmBjVJ,9608.012013575646,29.89415612494929
416,aJRksKcBxTYB1zqKxsZDTXFygMJ3MUPDE9h9XAXXaBt,9496.209158646789,29.54629519432848
329,9nvxWaidCJPgEiVNrZEB2xzgsf5eDcyQGqjAb6hV3Faf,9476.517080269876,29.485025697101335
426,CNTh1APUYhm477Mor2rk4mW61jb8nRmb1QbPacS8LxBA,9475.56942856185,29.482077194531627
238,GwUptrHSadX65z2b76n1zMzJnetCKeJc4mTs6rUi99fS,8807.513057501461,27.403501373796985
109,GB3rVKCuhX3rCrLNktEzxMDXQKJvT9BKh1jZ5VMAfk5q,8676.206639955033,26.994957489714157
228,DTToEXpyDRcU36HEFbmuvEihBshp4S8imKw3txNGEW8g,8399.396741887687,26.133697293737672
537,4ePg6zzTXDL39XMkfeKmLkuHo4FHGendTnRr694RWbDw,7728.99528587971,24.047825027552044
51,2kic8gYaNFrvvd1hJvmaHjLQExe4AoY9YUYR8PGFA3xB,7259.619492921812,22.587419564264806
22,DNpaVTkiQMiHgGXNMRzFpeVS9GwzZjQPGUxmZ2pEMakt,6792.836017132275,21.135079779293424
436,Cn4fv2ZL8ZFYFDEYNtwC6GkR5bApJevQVpGD3P41eezw,6525.685750394584,20.303874346640526
96,3eyYn7syXMGHqZ8NkSqetfdp9fWADyyELabGteDPTFFT,5876.370622011937,18.283609613963677
0,4F6J65BByd2eWHJ26RnMnR7vnxPqxNBF9EEJFwSHJsBW,5781.919725879062,17.989737184251055
402,CjhMULihdSYhAK8A1f6CRLo5u7JVVsP6YZTjbKS1c69F,5739.715401977468,17.858423584093238
172,2hxNSQQnzjDqzYtbLr3oJSEbBydxkCchnEQKdV234sBb,5678.042159027716,17.666534819709224
462,6FuFaX7vYro7kQcFF1U6Hved9x7B35Jwozrq4Y3Hoknf,5553.741830191471,17.279789525119362
455,F7D16oJCuC9Pq2NArwFu1AoB73LdLaSTDXwDD76wt8Ff,5000.000248751431,15.556890213060282
468,Ed3McSigpXNxPjx1qGPFrSXTt5eFKJ3PUQdCWjwLJuyG,4897.853120216731,15.239071896033098
115,4qKm9ehFu7cefpKFqCfMpk2Kwa3pgVZC6e2vPAJZyTCE,4831.169749352067,15.031594730439473
76,AfFwYWaxTfrmzEM5wZCHZAWb79YDv83KazFSrU1fHABL,4826.310288713741,15.016475112062652
150,EUepZkiDM8GYB69oNKxwDeCFDe15E89X2atoAfvAnhjN,4772.043949219895,14.84763202330856
240,CccdA3invTA3L3vunFyXXFvHFKF3ts593Wa55A2GKKyG,4710.6070441179545,14.65647859527828
135,G1CCSvaB12RufyzkkpXNNZ4agYyPR1rBDdT3d6CXGE8k,4708.0337474549715,14.648472096942273
233,9sShFAKxHQSbhRmSztqURgEi9F8KrAYuZ8TLAZhTiqJv,4707.643138662116,14.647256765381394
236,D53znUuQrjFaxkWmfH52JDyQQ9sugQgvqNAEgvAguzRN,4599.206903947327,14.309870662451328
113,3Z6fngG3jPgDvympkkYSpPHCZVDMTZ2maGbt3Wy97yfB,4010.0001994986483,12.476625950874347
449,EpTJsnmia3h3VKQrZJR5KQrL26qpwXS1VjVBigfk2yb5,3629.1879048034843,11.291774997749776
57,6UakuNYowcHvq2UkAdt89NhKQNSFfWA4oLG93FFwEPAD,3339.6378234346985,10.39087527716242
173,4uZWCstgyj26eCzTy2Ro5fiyD5azqvCkqo4EQ8acnau3,3309.0593753155154,10.29573416984054
155,GomHPvCxmfsWSeMHUDZpnePsm15BAGvidxjtmczpjSBD,3243.7550074007413,10.092547603532443
348,HgxSyFcKL7R15Z9Vj2NPCG3tLXNGpbQeEd24V3PZ471s,3130.891792577214,9.741387492582227
133,CSFDK9FCbJYTahbUShGSbttxnuZxqmy7ACHVxGmHPPps,2980.186297788791,9.272485748524538
453,3NY5Hrvf3CqXreP4caFjVoYF4t41X4ybfwuBNyDKbaQy,2906.800138043003,9.044153673819459
199,77gwuRTfZ1NksHFuKrGwTikbCo9w1s4sdthzndsjfBrR,2880.734119866038,8.963052441240132
325,HXg2xDzpV3Tzk9x2dK62wXxw4EDAt4DLz3SCpZVd2xiF,2862.1367711885105,8.905189061792793
268,7xqgbS3fU8qRMuESi6dJUXygHe7U1bvzDqD3uULrZZpK,2842.955124080963,8.845507709130402
297,74XXBvaKbgSFxMdwSasJE8p3szTsS69fZk6NmUY9cLdf,2842.955124080963,8.845507709130402
210,HisQcQxxdSUTpMrPLQdwfvknBGheQqLUBpToQrVdngsq,2842.7838044293017,8.844974668954473
434,J2BysNJPZqbz29MfTAKUBR4nZ48avAsbxPLKEthy99yo,2448.926560108366,7.61953594801655
42,6hTpdC3udnoGLapS1Uxrt51sBRcDH3finesjETPqrHjK,2442.474916564703,7.599462446954699
170,EcS3yYXmucNgrTm5pJQrxA1NADNRHWrvGfXLBJ8AsjLQ,2248.0480158605274,6.994526887306328
335,4p2ZjsJyQ5cmMmt2ViENEKYdZSWhvC64GEuyhVnBBL9H,2127.8940778511032,6.620682581449298
305,E1iAeafp9XLQLCu9ErENUxZiNPWGQNCW3F3EDFbpZJvx,2000.0000995005728,6.2227560852241135
262,3dRhTSSGzGFamUkCtFuEbWNXEZQ8RKe92K79dvKczQm6,1985.330328316539,6.17711288354273
382,E3niFumbEy4HLLaH16gKYpZ9CnhjD3vjBvw4TMyeQryk,1944.8784171072914,6.051251701486214
7,9bkkeNJL9LjNiWpvNUUPQy3job8KP9KDtNX5DuT7muGP,1943.6179513437419,6.047329916181152
443,FXBwzxYN3GvWJwXjpKMfnuQCF3by9CaL2j4r9qt8VqF4,1938.8916716563185,6.03262467407005
152,GARxv8o7NbgBnoXJ8c49si6hdasgr3RUHGeT1WkQ2idz,1930.5241154854966,6.006590044825062
186,Jydm6T8AcdiEcharc8YWt18BKN6VSsrMZ9LihWc6YS4,1914.000095222048,5.955177573559475
380,CzHqTDgk58QSc5znEizmMxtJvSm5P4K8SsaXQZDs5usJ,1910.3735287104184,5.943893954706483
523,Aw8JjQcTCQX7hNJwMDm7KzF7rzQ1tDYzqrDkUYZEBeVU,1896.2170650710666,5.899847846769274
77,7jAUNgXUi61zC2Kf4ze6tz63M5beCbiJX5KoRw3pM2ZY,1895.5906344068799,5.897898784252471
401,3B2QG5eDRoaLxKPpM57JdLK4BL5T45q9bYZNtjc5Gx6t,1895.3034160539753,5.897005139420267
419,2N14JcDVET2t2VoKfJ1K7R28pTJiLyhpb6GS6zFT9F7d,1810.8153934582865,5.634130974130396
174,41F42Db679kycQDX1kxLJ8hutd35MnNkLbzJsuLXGiNs,1763.227123278023,5.486065882571913
9,CZiRHmqePKYP2hnWfuW6EsWsjYrsBdG91tXXXHs84JuF,1719.8071463430315,5.350969926446721
