,transaction.signature,amount,instruction.action.name,instruction.action.type,instruction.callPath,transaction.signer,block.timestamp.iso8601,currency.name,currency.address,currency.symbol,currency.decimals,sender.address,sender.mintAccount,sender.type,receiver.address,receiver.mintAccount,receiver.type
0,2BjZxyYt59jzQtHFxGC4K3S1gdCvogViWWP2b3d8XDDZ4Z2BaWZ2j75b2DAVGNKE8zU7bj7Q6eT9a3wvuqEAmXKp,300.64,transfer,transfer,1-1,2gCQWZ1GjipvQ7drDaG8gkb8XxtCTx8JLvazREstm1MN,2022-03-20T18:46:33Z,Saber Protocol Token,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,SBR,6,2gCQWZ1GjipvQ7drDaG8gkb8XxtCTx8JLvazREstm1MN,xeAFdsF3DdjgwpTCRfUWiGbfeeNPC4Xp3jZRpcC6yu2,account,BH7Jg3f97FyeGxsPR7FFskvfqGiaLeUnJ9Ksda53Jj8h,45NeXayPBdfZYWcoZPdv3sQeXoYVS5GcHRWP4MHXBSHY,account
1,2CxsFb6Q53DhUd7BhLUayaoqA78W56U5GNY8uQCaPFMwnfQ3zS7FyYMHmEkNs1zNVwNLzi511ntC9vy6hGHjunPq,8958.457821,transfer,transfer,0-0,aJRksKcBxTYB1zqKxsZDTXFygMJ3MUPDE9h9XAXXaBt,2022-03-20T14:11:28Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,UST,6,aJRksKcBxTYB1zqKxsZDTXFygMJ3MUPDE9h9XAXXaBt,2rNdN69xt669xHGqtH5vs1emYrg53LD6S8tB14XqRQZi,account,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,69Znv2Lj1XbaSWx5B8grnF7UKG1vG14B3XtKPGA6GrXP,account
2,2FVtDFokC7Hkn6Yo2rbjTLkn8Ju44LRHGazkrCZTGaNrw5B1VUQz8EdSZd4AHHbwF6kCewNJMyouDeowdjABiSFx,11423.904399,transfer,transfer,1-0,BCwCpeABMuENfyX8C8dVW24fjByz1ZdoUM7ASYk8BnqE,2022-03-20T11:21:26Z,Saber Protocol Token,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,SBR,6,BCwCpeABMuENfyX8C8dVW24fjByz1ZdoUM7ASYk8BnqE,5Ttz29SShNtt7imK8KwtAxdKqjNWzbRhcW59wDidzao8,account,BH7Jg3f97FyeGxsPR7FFskvfqGiaLeUnJ9Ksda53Jj8h,45NeXayPBdfZYWcoZPdv3sQeXoYVS5GcHRWP4MHXBSHY,account
3,2QK6VQgkfhRiwUYkiXL2jQxvZTLuswz8sfEWUCG28CuG98d49upsFwKkb2Z2mEzr8uBwuk6oPECxiuNXqtC9KwC5,1.124678,transfer,transfer,1-1,4CDEHX22dSspEsdQVLQgCUiRKwYRgeCPxmEXEczNse1G,2022-03-20T16:29:53Z,LUNA (Wormhole),F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,LUNA,6,4CDEHX22dSspEsdQVLQgCUiRKwYRgeCPxmEXEczNse1G,ELcNsDxqH3bzrkXqbz1Cm7GEQjkmoavbKuYtwFreeq6s,account,5oV1Yf8q1oQgPYuHjepjmKFuaG2Wng9dzTqbSWhU5W2X,GCm6VCGpkUQ2kaXoJz9S7SmEnHyXwwxLbr2fVD4AM1yD,account
4,2R4LAub6DDXfm9m8cJxBQEjMWToKzhUkbn8ztygpzzHRknUJpiLwH6xg36G5puBbQM97MQMt2rQJ3wpWcCezJFa3,1.8,transfer,transfer,3-1,GgnCkAuFUGU2dEDcvEx8RCGw3a1XEi5SwL8L8M19BmVW,2022-03-20T18:24:51Z,Solana,-,SOL,9,2WMvqTgRAQqzY64PqFCbNkGiTG7N8hkvchKFRXwepWVe,2WMvqTgRAQqzY64PqFCbNkGiTG7N8hkvchKFRXwepWVe,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
5,2Vod2nnUybR2eopLZRyrQcKie9KPPcMYqUpn7ee2UkAE4koWLbPvq6zbnJq4xVTm2VY8xG6tGDpEDfCiA3noG3LT,0.1,transfer,transfer,3-1,32ByKf8vuiaBzLaY5gN6SD3cPTqG6AzJeCvW8xZwwHbr,2022-03-20T18:14:06Z,Solana,-,SOL,9,8jzdFPNwje64svdE7CxXusMzYtbuWt9hsd7cmRxNVfLJ,8jzdFPNwje64svdE7CxXusMzYtbuWt9hsd7cmRxNVfLJ,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
6,2XVM7yb5xn8LLVynS7TmTajbcUtaTxse1nhUkUtNSA3nYRPHqPSSCCQxBJAh68T5YWxtQKtE5c3hGCWdcLZdq2T5,0.000556,transfer,transfer,0-0,3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,2022-03-20T10:14:14Z,Wrapped Ethereum (Sollet),2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,ETH,6,3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,6YizBbHBnZrFPHoVWrTfiUd4spvm55e8cYFjY3yWsqHD,account,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,8Z9d9QVJ8frhB15tpNcHZ9dkmfSzXJkzcb639EAFSsYm,account
7,2bbzxxGE1iabnMDGaFsBKAaDUQQnip8JRMDmQ2StLjMhm4uf4MG1KvgfpPhCL5tKez7GGjpbrhQqQDRZpaS9tStT,8.7,transfer,transfer,2-0,D6FMUgUjyRv2mrE5i4rPKcYCo8G9MoYcPcNUeEigWCqL,2022-03-20T12:01:24Z,Solana,-,SOL,9,FxRpJ1FmnYrHS95g5Ci8Z7XGhm4qBZrU2zN9hAYyUQP7,FxRpJ1FmnYrHS95g5Ci8Z7XGhm4qBZrU2zN9hAYyUQP7,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
8,2eZYxcFFfkjpvsV4NCPmeo8N2tG9jzWToAVKJe5zSvr88X6Mo6h5HuwaJa9o7qH8x3iP4Hon6LUeyxS9jTzFGNHb,3.683951,transfer,transfer,1-1,2yxFqhVeGLqGWZKgVza7A1sMkqdpDosyxHcWnPhBcHd4,2022-03-20T14:13:17Z,Serum,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,SRM,6,2yxFqhVeGLqGWZKgVza7A1sMkqdpDosyxHcWnPhBcHd4,GUUsLw4QzCAMxW6gYDkWK89TKzy5mjtjXVymgstr96Mo,account,2P427N5sYcEXvZAZwqNzjXEHsBMESQoLyjNquTSmGPMb,DrrE59ehum4DcprCAupUqjwDmFxNszPXwigyPkadEXKL,account
9,2m3XXkqW3oZGJ3mdSNrvtoNUFUTYsF49t3QKnHdY71UjNzNU7sMnEV55MzBunfaeTJs9ygZb2K1BLiUSeEvA3mU2,0.711,transfer,transfer,2-0,n3U9c2K5a3ZkH9dRg4qJ6sKFCx9omow67XUJrQBBs6H,2022-03-20T13:53:22Z,Solana,-,SOL,9,4P7A73RmirzNYTgja5xkoqU6DDCB969msVfotJDxo33S,4P7A73RmirzNYTgja5xkoqU6DDCB969msVfotJDxo33S,account,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,HiepGSjE1udH3GDTzwHF1bdmNKyuTUiweWu1vsx8okPk,account
10,2uSPRPp8ArUMxBhyUhracE5qfFZK9bT66cFqv2PANpdEFWacUaXJQTsUkoADE1jvBKjcYwqgXccATgNNUUrFVCQg,1000.00013,transfer,transfer,1-0,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,2022-03-20T11:59:28Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,6,4pwQBg95Cw9znrT3SGkVXw5QvqY6xpjseG8xC7dmPDve,H5tDdeWNHEwjzkAMoG8AcZD8D8aSczLqiAKYPxMk3LSP,account,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,EvWvbtqdaPXFwd7G6S8aUzQvG2JEnHyjVW1mWQRrRG2q,account
