txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
1kx6PYTANDwsAZGZ5xoRNe51uRK68k6roF6KYDauHQMmemH4JunDBCA47oHT2J1QUbh5YJHFdoZtQECqUVLVbZp,0.99859,transfer,1-1,79jbRVMQu5rQkEcAPbzZNqnwKEASHyEyWgUn9q76yUKT,2022-03-17T19:33:26Z,Wrapped Ethereum (Sollet),2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,79jbRVMQu5rQkEcAPbzZNqnwKEASHyEyWgUn9q76yUKT,3e81Tr2AGVLwPLLsUwiBSaYdGDwSxCMXmhF5ZWUuQAsn,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,mainnet_income_call_eth,FThcy5XXvab5u3jbA6NjWKdMNiCSV3oY5AAkvEvpa8wp,GjnoPUjQiEUYWuKAbMax2cM1Eony8Yutc133wuSun9hS,ETH,ethereum,Deposit
231BLTQGbub2Cdm7s5Y7rSS4JN2L9JLWzhtwYG7Jowpd3ejabjvnxiRhuLVPnyG6Ej7j7YxEBorcfHwLybrTBxJe,144.809361,transfer,1-1,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,2022-03-17T18:19:02Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,AaV2HTiE7hJWzDA1od8wbBAGM1Kqmxo8BSoMkGV5VKbG,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin,Deposit
24y4KRma4BUarjw4y8Rv9Dt1kZdVVSP5kVnkbu4Ra5KMs7G9Df2Vb9C1b3M8f6yCuNuhsEW9s1WR8WrSKuN5bVBX,551.0,transfer,3-1,9T19SkKUpSNbt2cMcCQVz7NZEfmXW3gdMDkH9db1yidw,2022-03-17T18:39:38Z,Wrapped SOL,So11111111111111111111111111111111111111112,9T19SkKUpSNbt2cMcCQVz7NZEfmXW3gdMDkH9db1yidw,D9QnLjbjTEBCqFZUrovoFkNW3B8gLmsJkT6PDt4HUv1H,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,mainnet_income_call_sol_high,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,SOL,solana,Deposit
28SouEpsyqsi3u6Mmy1XRbjCEaab4M6YtofuEK1c85CDZvorjYSkjMJZaAmmqoc2LmvoE8gQ5ju1RwSk4AvnJ2jG,100.0,transfer,1-1,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,2022-03-17T22:51:42Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,DMEMt2oVMq8TRvBWY79xfgYb6Kq5GHcwR8cKHgDy934S,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin,Deposit
28nZcxYZ9sMCbotCXRrdRLx8GWksnY4PeJYAeiaRcKNyGkowt8qAuDQbMmgsvV8afmaWZmqMpPhG9vrZX8zakGN4,0.388,transfer,2-0,D6mQT7imPfYF4VUVdVXKR1Rgya6oefmxYnihzy9CpUxB,2022-03-17T21:20:45Z,Wrapped SOL,So11111111111111111111111111111111111111112,D6mQT7imPfYF4VUVdVXKR1Rgya6oefmxYnihzy9CpUxB,25rEKbr8KDHj3UT1ZSSBYsmDCUQnWXn6PEFJMMZ6bHdg,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,mainnet_income_call_sol_high,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,SOL,solana,Deposit
29AsUt8fhFFWusfhptbdVjkyCquVPihB3qvt5wm36paxSJ4M5b6nTQDAvpqi4iziaNHjrbM1gE1ZoCjvXCJ5gwb2,5.83814,transfer,1-0,GFGVjhadLpBDTzmgqm2EDxcu2YP9H2kMvbfKEDtUWndE,2022-03-17T16:54:40Z,Wrapped FTT (Sollet),AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,GFGVjhadLpBDTzmgqm2EDxcu2YP9H2kMvbfKEDtUWndE,5JnLKh1faWqACifpi7jMHJjKaRPQ7c3khjV2oE5mZTm3,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,mainnet_income_call_ftt,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,FTT,ftx-token,Deposit
2AgPQd6W2TMLGLtBEtiRx8FBz21FuN2u7y9VDvqZvo1kaY1KwfeEAuLF9baqcFH9NKqFEjFYEqua5xpwJ5fEc2s6,2000.0,transfer,1-1,8otUU2sy9kHpYaZgyeTcsRUiDMFuGh5mSVGyPKYD5cjZ,2022-03-17T18:32:00Z,Step,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,8otUU2sy9kHpYaZgyeTcsRUiDMFuGh5mSVGyPKYD5cjZ,66SnRCyE3keuhSvFZJKbWqtmEejo2JbUXY4ESs6nYU1D,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,mainnet_income_call_step,FiEHDTKT6X7VFwGaUmsm1XXYr8vvkoSR5EqcY4znpefq,AQFLXqLLofcbUCoi5HPfuuvX6vMPafubZfBNBMumnKq2,STEP,step-finance,Deposit
2K99q8DGCf91unGMBYNqQx41W5QrMDAnEiVirurGqNdjqPg5AWC6pSG9m86X4vZxrXzRAPygTLLH7aH8sRoUrvoG,200.0,transfer,1-1,4NUxsvv6KAAR17nVuGvtQ8FmFX3Ej82ZnnuMMjN5RvdS,2022-03-17T20:24:49Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4NUxsvv6KAAR17nVuGvtQ8FmFX3Ej82ZnnuMMjN5RvdS,4Ppw2ZySPJPo5JjHtdPYMvDqaQe5Q4NMTPeLNRMXCF8R,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,Deposit
2LAG4N7oStuf5priu1EgtjH6aR39Wsbc4p9kWk5rBmsAHndsdzXn5mEwZjbQ4GALAhAPeNdESgW6CYyaHro9mcff,25000.0,transfer,1-1,FShE9XgRuGrQymP3YufsTejWqZh9ZA9njBmeoEbsAfnf,2022-03-17T21:36:21Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FShE9XgRuGrQymP3YufsTejWqZh9ZA9njBmeoEbsAfnf,5FZrH6jpbyq5VGAyPZNhKUoP3cJicdh9HBnEbWDZ3gY,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,mainnet_income_put_eth,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,2uTkms42P62dJ7JRaefc1HFkvyBeMP28J6MPmH1gVHoT,USDC,usd-coin,Deposit
2TP2FGDW8QjNQLedHgppqeEeSY73EhmqVgFDCdpZmbdTibqVWBcS9ccW75ULwJtHCabLMvLTuX3iJ9wmDrPoqRQM,198.116874,transfer,0-0,mmGdMwUaNpo3dLyc96vaMRLwiPU6djAA2ATynmrHGM6,2022-03-17T21:19:58Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,mmGdMwUaNpo3dLyc96vaMRLwiPU6djAA2ATynmrHGM6,G9AqUiHfcabmQ3HDLmrntxoMn1CWhgXv8qKHehePfsFn,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin,Deposit
2WCP74CfbKefNmbCBUH2UmSZaDGkrZRxLqVuAFJqn4i19tYsrFzmJqBntUW7NZLcQbk3kxGyCf4XLznLPmBvv6sb,1000.0,transfer,1-1,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,2022-03-17T22:47:38Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5KfRm2tAzQ4yFWKVvbWdtesvz4iuBfPxdJYwZB1yNJHP,DMEMt2oVMq8TRvBWY79xfgYb6Kq5GHcwR8cKHgDy934S,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,mainnet_income_put_eth,EA29Xf3HGMtYziw7UKZDUKby7gkoCbXwmiNKwc7z54Ax,2uTkms42P62dJ7JRaefc1HFkvyBeMP28J6MPmH1gVHoT,USDC,usd-coin,Deposit
2Wv3Crz8fXwFS6uGrujx3iiiJ1cgaLpZy4TBh3p6FJ4MZK9kbnRGhqcmD2tEqi8voVHeomhaYga5J3yT7oWRMkpJ,2550.487496,transfer,0-0,AT4qoJDVGXpEm3BGACUhC1zpVNLq4iX2bJ4cpABehpoD,2022-03-17T23:37:29Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,AT4qoJDVGXpEm3BGACUhC1zpVNLq4iX2bJ4cpABehpoD,347NS5vxWV3p7GCHT7jgNDpsKHXzLYghro9BJxuXTpNk,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,Deposit
2gR42JFszpgMwQR7a9NS5Y2gKXbtwkg6c6NTPLxiJXWfVscJffGWYpSuzCkZ7F4H5KFwQTkigo7r4oLWEzNAEVjR,1000.0,transfer,1-1,FKSPZvLju463oZ2FMEghxnYZ5379yWicsr1fqKmdCjQn,2022-03-17T19:54:20Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FKSPZvLju463oZ2FMEghxnYZ5379yWicsr1fqKmdCjQn,3LsCKcaVP4tbe55HQZQ3yQ89xFzcqFdRcHViK91FJbMc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,mainnet_income_put_btc,GrB6vbG2WP7eEnbwgxUbBGRMeXYq139jo2o9oW8cNK8f,THjfJ7GUeW6aMU6dzYYFVs5LnKNvmPzgk2wbh3bWagC,USDC,usd-coin,Deposit
2h3wW5N238mgC2YcV2pezZvdH5wkkRht9ysLG4j2R7BnvCXRbWbcBwUgcX4zrBRHbpFnpxNNA9L1cZFSSen75Edm,1000.0,transfer,0-0,2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,2022-03-17T22:22:45Z,USD Coin,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,BKGgBxLj7CZT8VWFW4bTAiak6zzkSw9U4BAexWzkmgM7,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,mainnet_income_put_sol_high,BThMeTgWZBoBbAzp9sK9T7gQzpQDQdRQUVLtVQ3781q1,G8jsAWUA2KdDn7XmV1sBqUdbEXESaPdjPWDEYCsnkRX2,USDC,usd-coin,Deposit
2hu5EdMbAFX3hhiJx8T5r8mYdbbGujcKXzYsjeZ5RMnXTgcWjbdjDj1RGBjPKUCvGxREW1zoPrwjeMS4RqeHp8xY,47.998452,transfer,1-0,7H2fjdHYNBottkNDy6x1te27cKBUTtDQfC7E3pgv1f5x,2022-03-17T18:24:47Z,UST (Wormhole),9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,7H2fjdHYNBottkNDy6x1te27cKBUTtDQfC7E3pgv1f5x,3tMx3dTYPCY9a3DYstAauJWq3BXcqCLjsAYaYbtwQyTb,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,mainnet_income_put_luna,5kA7FPiB3t2X5s65dK1AoEu5asDjC5d7f5vaB4iY2yrj,74ozhToAS71nDVBtFZMMucdkNB95tV2o5fhtFGQeixwS,UST,terrausd,Deposit
