txSignature,amount,instructionAction,instructionOrder,userAddress,timestamp,currencyName,currencyAddress,senderAddress,senderTokenMint,receiverAddress,globalId,vaultAuthority,shareTokenMint,depositTokenSymbol,depositTokenCoingeckoId,userAction
2APcgdqnRARfU1TU6zUkfmKEK5v3uRe8sgFAbMwezjwnu662A4enqL8QAZGnKBxnWgaCUwakFVgoYopEPkVLwfg1,298.815983804,burn,2-1,7CRTZakWxnH4vTruqnaVp76QtUQshCtA1cFWs4LVg7Hg,2022-03-17T22:39:00Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,7CRTZakWxnH4vTruqnaVp76QtUQshCtA1cFWs4LVg7Hg,4KwythWNUjo5zfgpPANjUq3FxZgD9keG4JujSfECCP3t,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
2CKWbwXigAEaMHbjFippuUqsZebJwep8YqTDtzzCAi4eBx1MoUd1XYwyUhjYWgBZrevjFYHk7wiRAJidvVwHYF5A,10443.49232,burn,1-1,7CRTZakWxnH4vTruqnaVp76QtUQshCtA1cFWs4LVg7Hg,2022-03-17T22:41:19Z,,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,7CRTZakWxnH4vTruqnaVp76QtUQshCtA1cFWs4LVg7Hg,7rxoDxUDYS953MoqGPKXHE2X8X5rVceF5FCU34oYtaEe,,mainnet_income_put_sol,6Nkc8MEiz3WLz1xthYitmSuy3NGwn7782upRHo2iFmXK,EBPM7fvPN8EuA65Uc7DT9eGyDUZ1sqMLM8Rb8y2YxBYU,USDC,usd-coin,Withdraw
2HnAAekMFsen6ToMw4ckFMaWcAgM42vhGE7mweJmh87vK8cEvigzUKcEZzFNbzqc3NuHqGBrDaU5CMwrXrsGQvRY,3.780278377,burn,4-1,55HALo7xwMgQsziPinNEZkoELuvGRz6VYFFv78xApf8,2022-03-17T22:14:03Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,55HALo7xwMgQsziPinNEZkoELuvGRz6VYFFv78xApf8,4P4gBCSw5EWKRLGXXdTQt5QC1M2dQ7YqH8t9J9hCWTLh,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
2ZCNtpoaZraLCh6mbEqPDDnKLutYYP9HLhidoiDgeFJ5uyK2pXs75dYTkNfcUk39v8d9dDCkFQcNSqeekgBzGtLm,0.095010096,burn,3-1,Dvny5DMzs5YMywghi1WrhHnumCuazSwbHqnWmQ3hPNVc,2022-03-17T17:18:27Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,Dvny5DMzs5YMywghi1WrhHnumCuazSwbHqnWmQ3hPNVc,4DpkENb1QRtbGzHHWnTVidsfZwVJTpi7CFPEKkUj3Rkm,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
2fckWYe7tiUrw2cpds8sBQmTkaozApt89ycfUc5bLNjKX3RUVgh8p1ttXKXF5P5Eco1Gt7hKXJgMjt9WmcxVqjMt,0.09840065,burn,2-0,EgdRrXDw9tFqgicAp4nmWKzuh3gjQtienvMGTr2DUj65,2022-03-17T20:11:31Z,,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,EgdRrXDw9tFqgicAp4nmWKzuh3gjQtienvMGTr2DUj65,GCg7UnBsFVwhbo3eCULRPjmWSFDe1tDGwua4656vf1A5,,mainnet_income_call_sol_high,wJAoeEG2sfQ1xgXUNVVkJ5mCTCw4SLc6oJafDwf6jTf,DNa849drqW19uBV5X9ohpJ5brRGzq856gk3HDRqveFrA,SOL,solana,Withdraw
2zqY2bdiJKTFo3hnVVHdJv9bpFbbCeMmc9Hn6PrBdy6MkrgzjCrADevZtBR3nTdxzo7psb16h9hiRmKH5WWXM5YB,192.169572375,burn,3-1,EETe3LSWbvA7WHqviipMkKuNqMhtDqvAeewMneunVnjt,2022-03-17T19:48:18Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,EETe3LSWbvA7WHqviipMkKuNqMhtDqvAeewMneunVnjt,EJD9JEYBUgnf1nXWsD7N5oUcBnLLjAhvQnscgqyZKhXf,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
3MbDAe66N9WVffQQCotJSXzGbAUcbnFsLBBCLv1LK7qtsGodbLD4T1L8aWu18ej6GYJjfBNkuJzuNmKxeGS5dVdr,9.462348,burn,1-1,3AthL3CDLUHqLLReCS3gaHEXAiyLpuTQuQXx1uMrT5g9,2022-03-17T16:15:45Z,,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,3AthL3CDLUHqLLReCS3gaHEXAiyLpuTQuQXx1uMrT5g9,oQSDZ5i3Kt7i1QCYWwuxQvFkXSxWQR2YGTeNjPN6PH4,,mainnet_income_call_ftt,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,FTT,ftx-token,Withdraw
3akH6ssqRXVCYJkAv3jTkdYi4Z6Xt7PSBSc8EZiAtXipc5G9HzxmDcFxH1YV2s9yFLhGUY9tjBNF2ewNhAzAK5rb,20.813775393,burn,2-1,JCRBM15628MqfynUkRG3yW83d955p4ZzUeSPUGsjhL3S,2022-03-17T20:53:58Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,JCRBM15628MqfynUkRG3yW83d955p4ZzUeSPUGsjhL3S,3B29rwwq6Msw4mUc2Zs5E3ii8VQ179w7x6qQh9fvqnPF,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
3e37v95wAGz2tikUpgoQvNPvbH97k4EekrnkPb9EGAi918eusHYgNUQrxZDmaTVvktHZNYt8z5gLSFKR7qALKhWz,0.342545878,burn,3-1,3vx1MWLnj3VZBDUjSh59DGb1dk6jDRLDaBkxHEV7zxbE,2022-03-17T20:22:21Z,,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,3vx1MWLnj3VZBDUjSh59DGb1dk6jDRLDaBkxHEV7zxbE,14EDPxqp7GPatmXqgAabvP4c25LyauiBdNWLnm8VgrA3,,mainnet_income_call_sol,Hxtb6APfNtf9m8jJjh7uYp8fCTGr9aeHxBSfiPqCrV6G,4Hnh1UCC6HLzx9NaGKnTVHR2bANcRrhydumdHCnrT3i2,SOL,solana,Withdraw
3t8XR1LoUXkzhA1pDfhAYe1A7hohjfEZTeyesGtscG6UG5rwq7PJCghPoK4DSRjYfkeZpPQSPedwtAXFDMKn8Pk5,9.462348,burn,0-0,3AthL3CDLUHqLLReCS3gaHEXAiyLpuTQuQXx1uMrT5g9,2022-03-17T21:58:47Z,,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,3AthL3CDLUHqLLReCS3gaHEXAiyLpuTQuQXx1uMrT5g9,oQSDZ5i3Kt7i1QCYWwuxQvFkXSxWQR2YGTeNjPN6PH4,,mainnet_income_call_ftt,7KqHFuUksvNhrWgoacKkqyp2RwfBNdypCYgK9nxD1d6K,7wDh4VCTPwx41kvbLE6fkFgMEjnqw7NpGJvQtNabCm2B,FTT,ftx-token,Withdraw
